CAT,Category,ACT,Activity,UNIT,Unit,VAR,Variable,SRC,Source,TIME,Time,Value,Flag Codes,Flags
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR105,Food Loss - Meat + poultry + fish,SOURCE14,"Buzby & al., 2011",2008,2008,30.38425642,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR115,Food Loss - Poultry,SOURCE14,"Buzby & al., 2011",2008,2008,12.18204331,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE14,"Buzby & al., 2011",2008,2008,0.4,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR56,Food Loss,SOURCE14,"Buzby & al., 2011",2008,2008,37683.54729,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR64,Food Loss - Added fats and oils,SOURCE14,"Buzby & al., 2011",2008,2008,1653.344205,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR68,Food Loss - Added sweeteners,SOURCE14,"Buzby & al., 2011",2008,2008,3300,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR69,Food Loss - Added sweetners,SOURCE14,"Buzby & al., 2011",2008,2008,3345.697354,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR75,Food Loss - Dairy products,SOURCE14,"Buzby & al., 2011",2008,2008,6361.633052,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR81,Food Loss - Eggs,SOURCE14,"Buzby & al., 2011",2008,2008,600.1027115,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR86,Food Loss - Fish,SOURCE14,"Buzby & al., 2011",2008,2008,541.1357028,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR90,Food Loss - Fresh and processed Fruit,SOURCE14,"Buzby & al., 2011",2008,2008,4100.475065,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR91,Food Loss - Fresh and processed vegetables,SOURCE14,"Buzby & al., 2011",2008,2008,7476.563109,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR100,Food Loss - Grain products,SOURCE14,"Buzby & al., 2011",2008,2008,4770.431003,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR104,Food Loss - Meat,SOURCE14,"Buzby & al., 2011",2008,2008,4993.598451,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR105,Food Loss - Meat + poultry + fish,SOURCE14,"Buzby & al., 2011",2008,2008,9239.66904,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR106,Food Loss - Meat + poultry and fish,SOURCE14,"Buzby & al., 2011",2008,2008,9239.676669,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR115,Food Loss - Poultry,SOURCE14,"Buzby & al., 2011",2008,2008,3704.488923,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE14,"Buzby & al., 2011",2008,2008,135.1705276,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR56,Food Loss,SOURCE15,"Buzby & al., 2012",2008,2008,19,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE15,"Buzby & al., 2012",2008,2008,9,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR171,Food Loss in supply - Added fats and oils,SOURCE15,"Buzby & al., 2012",2008,2008,13,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR172USA,Food Loss in supply - Added sugar and sweetners,SOURCE15,"Buzby & al., 2012",2008,2008,18,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR173USA,Food Loss in supply - Dairy products,SOURCE15,"Buzby & al., 2012",2008,2008,15,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR174,Food Loss in supply - Eggs,SOURCE15,"Buzby & al., 2012",2008,2008,14,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR175,Food Loss in supply - Fish and seafood,SOURCE15,"Buzby & al., 2012",2008,2008,25,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR176,Food Loss in supply - Fruit,SOURCE15,"Buzby & al., 2012",2008,2008,15,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR177USA,Food Loss in supply - Grain products,SOURCE15,"Buzby & al., 2012",2008,2008,18,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR178,Food Loss in supply - Meat,SOURCE15,"Buzby & al., 2012",2008,2008,34,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR180,Food Loss in supply - Poultry,SOURCE15,"Buzby & al., 2012",2008,2008,37,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR182,Food Loss in supply - Vegetables,SOURCE15,"Buzby & al., 2012",2008,2008,18,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR183USA,Food Loss in total food supply,SOURCE15,"Buzby & al., 2012",2008,2008,22,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR56,Food Loss,SOURCE15,"Buzby & al., 2012",2008,2008,123.9,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR66,Food Loss - Added sugar and sweeteners,SOURCE15,"Buzby & al., 2012",2008,2008,11,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR75,Food Loss - Dairy products,SOURCE15,"Buzby & al., 2012",2008,2008,20.9,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR81,Food Loss - Eggs,SOURCE15,"Buzby & al., 2012",2008,2008,2,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR88,Food Loss - Fish and seafood,SOURCE15,"Buzby & al., 2012",2008,2008,1.8,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR96,Food Loss - Fruit,SOURCE15,"Buzby & al., 2012",2008,2008,13.5,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR100,Food Loss - Grain products,SOURCE15,"Buzby & al., 2012",2008,2008,15.7,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR104,Food Loss - Meat,SOURCE15,"Buzby & al., 2012",2008,2008,16.4,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR106,Food Loss - Meat + poultry and fish,SOURCE15,"Buzby & al., 2012",2008,2008,30.4,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR115,Food Loss - Poultry,SOURCE15,"Buzby & al., 2012",2008,2008,12.2,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE15,"Buzby & al., 2012",2008,2008,0.4,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR132,Food Loss - Vegetables,SOURCE15,"Buzby & al., 2012",2008,2008,24.6,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR56,Food Loss,SOURCE16,"Buzby & al., 2014",2010,2010,244.5,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR64,Food Loss - Added fats and oils,SOURCE16,"Buzby & al., 2014",2010,2010,47.8,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR66,Food Loss - Added sugar and sweeteners,SOURCE16,"Buzby & al., 2014",2010,2010,58,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR81,Food Loss - Eggs,SOURCE16,"Buzby & al., 2014",2010,2010,4,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR87,Food Loss - Fish and seafodd,SOURCE16,"Buzby & al., 2014",2010,2010,2.2,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR89,Food Loss - Fluid milk,SOURCE16,"Buzby & al., 2014",2010,2010,6.8,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR92,Food Loss - Fresh Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,6.5,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR94,Food Loss - Fresh vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,6.7,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR100,Food Loss - Grain products,SOURCE16,"Buzby & al., 2014",2010,2010,51.3,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR104,Food Loss - Meat,SOURCE16,"Buzby & al., 2014",2010,2010,25.7,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR114,Food Loss - Other Dairy products,SOURCE16,"Buzby & al., 2014",2010,2010,16.6,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR115,Food Loss - Poultry,SOURCE16,"Buzby & al., 2014",2010,2010,10.9,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR117,Food Loss - Processed Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,2.3,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR119,Food Loss - Processed vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,3.4,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,BILLIONCALORIES,billion calories,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE16,"Buzby & al., 2014",2010,2010,2.3,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR56,Food Loss,SOURCE16,"Buzby & al., 2014",2010,2010,789,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR64,Food Loss - Added fats and oils,SOURCE16,"Buzby & al., 2014",2010,2010,154,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR66,Food Loss - Added sugar and sweeteners,SOURCE16,"Buzby & al., 2014",2010,2010,187,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR81,Food Loss - Eggs,SOURCE16,"Buzby & al., 2014",2010,2010,13,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR87,Food Loss - Fish and seafodd,SOURCE16,"Buzby & al., 2014",2010,2010,7,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR89,Food Loss - Fluid milk,SOURCE16,"Buzby & al., 2014",2010,2010,22,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR92,Food Loss - Fresh Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,21,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR94,Food Loss - Fresh vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,22,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR100,Food Loss - Grain products,SOURCE16,"Buzby & al., 2014",2010,2010,166,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR104,Food Loss - Meat,SOURCE16,"Buzby & al., 2014",2010,2010,83,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR114,Food Loss - Other Dairy products,SOURCE16,"Buzby & al., 2014",2010,2010,53,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR115,Food Loss - Poultry,SOURCE16,"Buzby & al., 2014",2010,2010,35,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR117,Food Loss - Processed Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,7,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR119,Food Loss - Processed vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,11,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,CALORIESBYCAPITABYDAY,calories/capita/day,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE16,"Buzby & al., 2014",2010,2010,7,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR56,Food Loss,SOURCE16,"Buzby & al., 2014",2010,2010,131.5417886,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR64,Food Loss - Added fats and oils,SOURCE16,"Buzby & al., 2014",2010,2010,6.803885617,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR66,Food Loss - Added sugar and sweeteners,SOURCE16,"Buzby & al., 2014",2010,2010,18.14369498,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR81,Food Loss - Eggs,SOURCE16,"Buzby & al., 2014",2010,2010,3.175146622,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR87,Food Loss - Fish and seafodd,SOURCE16,"Buzby & al., 2014",2010,2010,2.267961873,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR89,Food Loss - Fluid milk,SOURCE16,"Buzby & al., 2014",2010,2010,15.42214073,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR92,Food Loss - Fresh Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,14.06136361,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR94,Food Loss - Fresh vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,18.59728735,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR100,Food Loss - Grain products,SOURCE16,"Buzby & al., 2014",2010,2010,16.32932548,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR104,Food Loss - Meat,SOURCE16,"Buzby & al., 2014",2010,2010,10.43262461,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR114,Food Loss - Other Dairy products,SOURCE16,"Buzby & al., 2014",2010,2010,8.164662741,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR115,Food Loss - Poultry,SOURCE16,"Buzby & al., 2014",2010,2010,5.896700868,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR117,Food Loss - Processed Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,4.082331371,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR119,Food Loss - Processed vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,7.711070366,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE16,"Buzby & al., 2014",2010,2010,0.453592375,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR56,Food Loss,SOURCE16,"Buzby & al., 2014",2010,2010,40777.95447,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR64,Food Loss - Added fats and oils,SOURCE16,"Buzby & al., 2014",2010,2010,2041.165685,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR66,Food Loss - Added sugar and sweeteners,SOURCE16,"Buzby & al., 2014",2010,2010,5579.186206,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR81,Food Loss - Eggs,SOURCE16,"Buzby & al., 2014",2010,2010,952.5439864,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR87,Food Loss - Fish and seafodd,SOURCE16,"Buzby & al., 2014",2010,2010,680.3885617,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR89,Food Loss - Fluid milk,SOURCE16,"Buzby & al., 2014",2010,2010,4762.719932,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR92,Food Loss - Fresh Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,4309.127558,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR94,Food Loss - Fresh vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,5805.982394,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR100,Food Loss - Grain products,SOURCE16,"Buzby & al., 2014",2010,2010,5125.593832,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR104,Food Loss - Meat,SOURCE16,"Buzby & al., 2014",2010,2010,3265.865096,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR114,Food Loss - Other Dairy products,SOURCE16,"Buzby & al., 2014",2010,2010,2585.476535,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR115,Food Loss - Poultry,SOURCE16,"Buzby & al., 2014",2010,2010,1769.010261,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR117,Food Loss - Processed Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,1315.417886,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR119,Food Loss - Processed vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,2404.039585,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONKG,Million kg,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE16,"Buzby & al., 2014",2010,2010,136.0777124,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR476USA,Solid waste,SOURCE86,US DATA EPA,2010,2010,34760000,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR479,Solid waste considered food waste,SOURCE86,US DATA EPA,1994,1994,8.2,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR479,Solid waste considered food waste,SOURCE86,US DATA EPA,1999,1999,11.2,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR479,Solid waste considered food waste,SOURCE86,US DATA EPA,2005,2005,11.9,,
FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR479,Solid waste considered food waste,SOURCE86,US DATA EPA,2008,2008,12.7,,
MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR90,Food Loss - Fresh and processed Fruit,SOURCE14,"Buzby & al., 2011",2008,2008,9340,,
MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR91,Food Loss - Fresh and processed vegetables,SOURCE14,"Buzby & al., 2011",2008,2008,34976,,
MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR56,Food Loss,SOURCE15,"Buzby & al., 2012",2008,2008,118570,,
MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR64,Food Loss - Added fats and oils,SOURCE15,"Buzby & al., 2012",2008,2008,4867,,
MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR67,Food Loss - Added sugar and sweetners,SOURCE15,"Buzby & al., 2012",2008,2008,2450,,
MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR75,Food Loss - Dairy products,SOURCE15,"Buzby & al., 2012",2008,2008,14679,,
MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR81,Food Loss - Eggs,SOURCE15,"Buzby & al., 2012",2008,2008,1751,,
MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR88,Food Loss - Fish and seafood,SOURCE15,"Buzby & al., 2012",2008,2008,6124,,
MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR96,Food Loss - Fruit,SOURCE15,"Buzby & al., 2012",2008,2008,9340,,
